ano,mes,estado,desvio_padrao
2023,9,PE,11.86
2023,9,PI,8.22
2023,9,PR,10.01
2023,9,RJ,10.34
2023,9,RN,9.14
2023,9,RO,11.35
2023,9,RR,5.84
2023,9,RS,9.51
2023,9,SC,8.90
2023,9,SE,4.46
2023,9,SP,9.56
2023,9,TO,4.03
2023,10,AC,7.22
2023,10,AL,7.18
2023,10,AM,7.84
2023,10,AP,8.26
2023,10,BA,11.10
2023,10,CE,6.37
2023,10,DF,5.31
2023,10,ES,8.31
2023,10,GO,9.71
2023,10,MA,10.27
2023,10,MG,11.33
2023,10,MS,10.62
2023,10,MT,17.35
2023,10,PA,13.26
2023,10,PB,8.11
2023,10,PE,11.55
2023,10,PI,7.73
2023,10,PR,10.62
2023,10,RJ,10.63
2023,10,RN,8.84
2023,10,RO,10.11
2023,10,RR,6.29
2023,10,RS,10.23
2023,10,SC,8.97
2023,10,SE,5.34
2023,10,SP,9.64
2023,10,TO,4.67
2023,11,AC,6.67
2023,11,AL,6.85
2023,11,AM,8.45
2023,11,AP,8.79
2023,11,BA,11.34
2023,11,CE,6.61
2023,11,DF,5.46
2023,11,ES,8.54
2023,11,GO,9.59
2023,11,MA,9.38
2023,11,MG,11.47
2023,11,MS,10.18
2023,11,MT,17.28
2023,11,PA,13.08
2023,11,PB,8.59
2023,11,PE,10.96
2023,11,PI,8.04
2023,11,PR,11.13
2023,11,RJ,10.51
2023,11,RN,8.16
2023,11,RO,9.51
2023,11,RR,5.30
2023,11,RS,10.87
2023,11,SC,9.78
2023,11,SE,5.72
2023,11,SP,9.71
2023,11,TO,4.95
2023,12,AC,6.45
2023,12,AL,6.55
2023,12,AM,7.88
2023,12,AP,8.88
2023,12,BA,11.78
2023,12,CE,6.88
2023,12,DF,6.05
2023,12,ES,8.88
2023,12,GO,9.87
2023,12,MA,9.72
2023,12,MG,11.67
2023,12,MS,10.63
2023,12,MT,17.58
2023,12,PA,12.61
2023,12,PB,8.65
2023,12,PE,11.20
2023,12,PI,8.19
2023,12,PR,10.55
2023,12,RJ,10.22
2023,12,RN,8.62
2023,12,RO,10.66
2023,12,RR,5.36
2023,12,RS,11.02
2023,12,SC,9.17
2023,12,SE,6.03
2023,12,SP,9.95
2023,12,TO,4.85
2024,1,AC,6.67
2024,1,AL,6.40
2024,1,AM,7.90
2024,1,AP,7.78
2024,1,BA,11.73
2024,1,CE,6.76
2024,1,DF,6.08
2024,1,ES,8.73
2024,1,GO,9.86
2024,1,MA,10.03
2024,1,MG,11.39
2024,1,MS,10.45
2024,1,MT,18.55
2024,1,PA,13.17
2024,1,PB,8.08
2024,1,PE,11.13
2024,1,PI,8.17
2024,1,PR,11.38
2024,1,RJ,9.97
2024,1,RN,8.87
2024,1,RO,10.31
2024,1,RR,6.35
2024,1,RS,11.20
2024,1,SC,9.58
2024,1,SE,5.75
2024,1,SP,10.06
2024,1,TO,4.53
2024,2,AC,6.16
2024,2,AL,6.48
2024,2,AM,8.48
2024,2,AP,8.36
2024,2,BA,11.11
2024,2,CE,6.91
2024,2,DF,6.03
2024,2,ES,8.15
2024,2,GO,9.84
2024,2,MA,8.60
2024,2,MG,11.10
2024,2,MS,10.20
2024,2,MT,17.80
2024,2,PA,11.73
2024,2,PB,7.95
2024,2,PE,10.46
2024,2,PI,7.57
2024,2,PR,10.70
2024,2,RJ,9.06
2024,2,RN,8.19
2024,2,RO,10.38
2024,2,RR,6.38
2024,2,RS,10.21
2024,2,SC,10.24
2024,2,SE,5.13
2024,2,SP,9.93
2024,2,TO,4.77
2024,3,AC,6.08
2024,3,AL,5.78
2024,3,AM,8.68
2024,3,AP,7.80
2024,3,BA,11.58
2024,3,CE,7.00
2024,3,DF,5.82
2024,3,ES,8.49
2024,3,GO,10.16
2024,3,MA,8.97
2024,3,MG,11.20
2024,3,MS,9.68
2024,3,MT,16.96
2024,3,PA,12.40
2024,3,PB,7.83
2024,3,PE,10.53
2024,3,PI,7.50
2024,3,PR,10.95
2024,3,RJ,10.77
2024,3,RN,7.10
2024,3,RO,10.82
2024,3,RR,6.27
2024,3,RS,9.91
2024,3,SC,10.40
2024,3,SE,5.56
2024,3,SP,10.04
2024,3,TO,4.90
2024,4,AC,5.81
2024,4,AL,6.08
2024,4,AM,7.89
2024,4,AP,7.49
2024,4,BA,12.28
2024,4,CE,7.18
2024,4,DF,5.95
2024,4,ES,8.48
2024,4,GO,10.24
2024,4,MA,8.78
2024,4,MG,11.18
2024,4,MS,9.68
2024,4,MT,17.22
2024,4,PA,13.24
2024,4,PB,7.95
2024,4,PE,10.77
2024,4,PI,7.09
2024,4,PR,11.14
2024,4,RJ,11.32
2024,4,RN,8.76
2024,4,RO,10.46
2024,4,RR,6.12
2024,4,RS,9.41
2024,4,SC,10.56
2024,4,SE,5.51
2024,4,SP,9.98
2024,4,TO,3.89
2024,5,AC,5.91
2024,5,AL,5.90
2024,5,AM,8.37
2024,5,AP,7.83
2024,5,BA,12.29
2024,5,CE,6.82
2024,5,DF,5.68
2024,5,ES,8.36
2024,5,GO,10.11
2024,5,MA,8.51
2024,5,MG,11.35
2024,5,MS,9.27
2024,5,MT,17.18
2024,5,PA,13.11
2024,5,PB,8.02
2024,5,PE,10.60
2024,5,PI,7.14
2024,5,PR,10.79
2024,5,RJ,11.31
2024,5,RN,9.01
2024,5,RO,10.33
2024,5,RR,5.83
2024,5,RS,9.29
2024,5,SC,10.92
2024,5,SE,5.77
2024,5,SP,10.12
2024,5,TO,3.67
2024,6,AC,6.10
2024,6,AL,5.75
2024,6,AM,8.61
2024,6,AP,8.50
2024,6,BA,12.22
2024,6,CE,6.75
2024,6,DF,5.97
2024,6,ES,8.82
2024,6,GO,9.98
2024,6,MA,8.43
